======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1432

✅ Nenhum locus_tag duplicado encontrado

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1432
   - FWK04_00015: bgc=SEM_BGC, size=153aa
   - FWK04_00025: bgc=SEM_BGC, size=272aa
   - FWK04_00040: bgc=SEM_BGC, size=233aa
   - FWK04_00105: bgc=SEM_BGC, size=460aa
   - FWK04_00110: bgc=SEM_BGC, size=209aa
   - FWK04_00115: bgc=SEM_BGC, size=123aa
   - FWK04_00120: bgc=SEM_BGC, size=915aa
   - FWK04_00125: bgc=SEM_BGC, size=267aa
   - FWK04_00130: bgc=SEM_BGC, size=349aa
   - FWK04_00135: bgc=SEM_BGC, size=274aa
   - FWK04_00140: bgc=SEM_BGC, size=230aa
   - FWK04_00145: bgc=SEM_BGC, size=533aa
   - FWK04_00150: bgc=SEM_BGC, size=192aa
   - FWK04_00155: bgc=SEM_BGC, size=79aa
   - FWK04_00160: bgc=SEM_BGC, size=85aa
   - FWK04_00165: bgc=SEM_BGC, size=151aa
   - FWK04_00210: bgc=SEM_BGC, size=488aa
   - FWK04_00250: bgc=SEM_BGC, size=226aa
   - FWK04_00260: bgc=SEM_BGC, size=97aa
   - FWK04_00270: bgc=SEM_BGC, size=144aa
   - FWK04_00285: bgc=SEM_BGC, size=169aa
   - FWK04_00315: bgc=SEM_BGC, size=67aa
   - FWK04_00350: bgc=SEM_BGC, size=206aa
   - FWK04_00360: bgc=SEM_BGC, size=109aa
   - FWK04_00420: bgc=SEM_BGC, size=92aa
   - FWK04_00445: bgc=SEM_BGC, size=84aa
   - FWK04_00520: bgc=SEM_BGC, size=95aa
   - FWK04_00535: bgc=SEM_BGC, size=109aa
   - FWK04_00600: bgc=SEM_BGC, size=123aa
   - FWK04_00605: bgc=SEM_BGC, size=143aa
   - FWK04_00610: bgc=SEM_BGC, size=115aa
   - FWK04_00620: bgc=SEM_BGC, size=162aa
   - FWK04_00625: bgc=SEM_BGC, size=68aa
   - FWK04_00645: bgc=SEM_BGC, size=98aa
   - FWK04_00665: bgc=SEM_BGC, size=115aa
   - FWK04_00715: bgc=SEM_BGC, size=324aa
   - FWK04_00720: bgc=SEM_BGC, size=88aa
   - FWK04_00725: bgc=SEM_BGC, size=74aa
   - FWK04_00735: bgc=SEM_BGC, size=403aa
   - FWK04_00780: bgc=SEM_BGC, size=124aa
   - FWK04_00785: bgc=SEM_BGC, size=124aa
   - FWK04_00795: bgc=SEM_BGC, size=111aa
   - FWK04_00800: bgc=SEM_BGC, size=103aa
   - FWK04_00805: bgc=SEM_BGC, size=88aa
   - FWK04_00810: bgc=SEM_BGC, size=135aa
   - FWK04_00830: bgc=SEM_BGC, size=160aa
   - FWK04_00885: bgc=SEM_BGC, size=79aa
   - FWK04_00900: bgc=SEM_BGC, size=140aa
   - FWK04_00910: bgc=SEM_BGC, size=69aa
   - FWK04_00920: bgc=SEM_BGC, size=125aa
   - FWK04_00970: bgc=SEM_BGC, size=72aa
   - FWK04_01015: bgc=SEM_BGC, size=87aa
   - FWK04_01035: bgc=SEM_BGC, size=86aa
   - FWK04_01045: bgc=SEM_BGC, size=122aa
   - FWK04_01065: bgc=SEM_BGC, size=122aa
   - FWK04_01075: bgc=SEM_BGC, size=291aa
   - FWK04_01080: bgc=SEM_BGC, size=127aa
   - FWK04_01085: bgc=SEM_BGC, size=123aa
   - FWK04_01105: bgc=SEM_BGC, size=59aa
   - FWK04_01120: bgc=SEM_BGC, size=141aa
   - FWK04_01140: bgc=SEM_BGC, size=192aa
   - FWK04_01180: bgc=SEM_BGC, size=215aa
   - FWK04_01235: bgc=lanthipeptide-class-ii, terpene, size=65aa
   - FWK04_01240: bgc=lanthipeptide-class-ii, terpene, size=66aa
   - FWK04_01250: bgc=lanthipeptide-class-ii, terpene, proteusin, size=707aa
   - FWK04_01260: bgc=lanthipeptide-class-ii, terpene, proteusin, size=1209aa
   - FWK04_01310: bgc=SEM_BGC, size=86aa
   - FWK04_01365: bgc=SEM_BGC, size=241aa
   - FWK04_01380: bgc=SEM_BGC, size=182aa
   - FWK04_01390: bgc=SEM_BGC, size=158aa
   - FWK04_01435: bgc=SEM_BGC, size=84aa
   - FWK04_01445: bgc=SEM_BGC, size=289aa
   - FWK04_01465: bgc=SEM_BGC, size=1190aa
   - FWK04_01520: bgc=SEM_BGC, size=154aa
   - FWK04_01530: bgc=SEM_BGC, size=136aa
   - FWK04_01565: bgc=SEM_BGC, size=144aa
   - FWK04_01600: bgc=SEM_BGC, size=414aa
   - FWK04_01610: bgc=SEM_BGC, size=217aa
   - FWK04_01680: bgc=SEM_BGC, size=11aa
   - FWK04_01700: bgc=SEM_BGC, size=59aa
   - FWK04_01750: bgc=terpene-precursor, size=138aa
   - FWK04_01755: bgc=terpene-precursor, size=81aa
   - FWK04_01775: bgc=terpene-precursor, size=225aa
   - FWK04_01810: bgc=SEM_BGC, size=127aa
   - FWK04_01815: bgc=SEM_BGC, size=477aa
   - FWK04_01840: bgc=SEM_BGC, size=181aa
   - FWK04_01855: bgc=SEM_BGC, size=287aa
   - FWK04_01870: bgc=SEM_BGC, size=350aa
   - FWK04_01895: bgc=SEM_BGC, size=145aa
   - FWK04_01905: bgc=SEM_BGC, size=146aa
   - FWK04_01910: bgc=SEM_BGC, size=66aa
   - FWK04_01920: bgc=SEM_BGC, size=618aa
   - FWK04_01945: bgc=SEM_BGC, size=109aa
   - FWK04_01955: bgc=SEM_BGC, size=552aa
   - FWK04_01975: bgc=SEM_BGC, size=66aa
   - FWK04_01980: bgc=SEM_BGC, size=62aa
   - FWK04_01990: bgc=SEM_BGC, size=395aa
   - FWK04_02035: bgc=SEM_BGC, size=224aa
   - FWK04_02060: bgc=SEM_BGC, size=89aa
   - FWK04_02070: bgc=SEM_BGC, size=93aa
   - FWK04_02090: bgc=SEM_BGC, size=700aa
   - FWK04_02110: bgc=SEM_BGC, size=92aa
   - FWK04_02210: bgc=SEM_BGC, size=114aa
   - FWK04_02255: bgc=SEM_BGC, size=391aa
   - FWK04_02265: bgc=SEM_BGC, size=158aa
   - FWK04_02300: bgc=SEM_BGC, size=94aa
   - FWK04_02335: bgc=SEM_BGC, size=91aa
   - FWK04_02365: bgc=SEM_BGC, size=62aa
   - FWK04_02370: bgc=SEM_BGC, size=61aa
   - FWK04_02420: bgc=SEM_BGC, size=78aa
   - FWK04_02425: bgc=SEM_BGC, size=589aa
   - FWK04_02490: bgc=SEM_BGC, size=164aa
   - FWK04_02500: bgc=SEM_BGC, size=952aa
   - FWK04_02505: bgc=SEM_BGC, size=292aa
   - FWK04_02510: bgc=SEM_BGC, size=208aa
   - FWK04_02525: bgc=SEM_BGC, size=254aa
   - FWK04_02535: bgc=SEM_BGC, size=61aa
   - FWK04_02590: bgc=SEM_BGC, size=194aa
   - FWK04_02620: bgc=SEM_BGC, size=76aa
   - FWK04_02640: bgc=SEM_BGC, size=212aa
   - FWK04_02655: bgc=SEM_BGC, size=65aa
   - FWK04_02710: bgc=SEM_BGC, size=75aa
   - FWK04_02745: bgc=SEM_BGC, size=98aa
   - FWK04_02780: bgc=SEM_BGC, size=170aa
   - FWK04_02790: bgc=SEM_BGC, size=180aa
   - FWK04_02835: bgc=SEM_BGC, size=470aa
   - FWK04_02850: bgc=SEM_BGC, size=109aa
   - FWK04_02890: bgc=SEM_BGC, size=202aa
   - FWK04_02930: bgc=SEM_BGC, size=84aa
   - FWK04_02945: bgc=SEM_BGC, size=731aa
   - FWK04_02950: bgc=SEM_BGC, size=1539aa
   - FWK04_02955: bgc=SEM_BGC, size=144aa
   - FWK04_02960: bgc=SEM_BGC, size=274aa
   - FWK04_02985: bgc=SEM_BGC, size=62aa
   - FWK04_03060: bgc=SEM_BGC, size=68aa
