======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1829

⚠️ Locus_tags DUPLICADOS encontrados: 211

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1407
   - ACYTXH_00440: bgc=, size=103aa
   - ACYTXH_00480: bgc=, size=47aa
   - ACYTXH_00525: bgc=, size=271aa
   - ACYTXH_00635: bgc=, size=71aa
   - ACYTXH_00690: bgc=, size=62aa
   - ACYTXH_00735: bgc=, size=75aa
   - ACYTXH_00795: bgc=, size=44aa
   - ACYTXH_00800: bgc=, size=81aa
   - ACYTXH_00830: bgc=, size=73aa
   - ACYTXH_00840: bgc=, size=46aa
   - ACYTXH_00845: bgc=, size=51aa
   - ACYTXH_00855: bgc=, size=79aa
   - ACYTXH_00860: bgc=, size=150aa
   - ACYTXH_00865: bgc=, size=131aa
   - ACYTXH_00875: bgc=, size=121aa
   - ACYTXH_00905: bgc=, size=18aa
   - ACYTXH_00940: bgc=, size=317aa
   - ACYTXH_01225: bgc=, size=273aa
   - ACYTXH_01235: bgc=, size=55aa
   - ACYTXH_01250: bgc=, size=290aa
   - ACYTXH_01280: bgc=, size=140aa
   - ACYTXH_01285: bgc=, size=93aa
   - ACYTXH_01290: bgc=, size=103aa
   - ACYTXH_01295: bgc=, size=120aa
   - ACYTXH_01305: bgc=, size=124aa
   - ACYTXH_01360: bgc=, size=74aa
   - ACYTXH_01370: bgc=, size=324aa
   - ACYTXH_01410: bgc=, size=141aa
   - ACYTXH_01435: bgc=, size=95aa
   - ACYTXH_01440: bgc=, size=197aa
   - ACYTXH_01450: bgc=, size=383aa
   - ACYTXH_01505: bgc=, size=366aa
   - ACYTXH_01540: bgc=, size=101aa
   - ACYTXH_01545: bgc=, size=43aa
   - ACYTXH_01615: bgc=, size=275aa
   - ACYTXH_01625: bgc=, size=139aa
   - ACYTXH_01655: bgc=, size=105aa
   - ACYTXH_01670: bgc=, size=219aa
   - ACYTXH_01700: bgc=, size=145aa
   - ACYTXH_01710: bgc=, size=432aa
   - ACYTXH_01715: bgc=, size=159aa
   - ACYTXH_01725: bgc=, size=43aa
   - ACYTXH_01735: bgc=, size=79aa
   - ACYTXH_01765: bgc=, size=60aa
   - ACYTXH_01775: bgc=, size=134aa
   - ACYTXH_01785: bgc=, size=319aa
   - ACYTXH_01790: bgc=, size=278aa
   - ACYTXH_01795: bgc=, size=168aa
   - ACYTXH_01800: bgc=, size=261aa
   - ACYTXH_01825: bgc=, size=94aa
   - ACYTXH_01850: bgc=, size=72aa
   - ACYTXH_01870: bgc=, size=62aa
   - ACYTXH_01885: bgc=, size=51aa
   - ACYTXH_01905: bgc=, size=192aa
   - ACYTXH_01925: bgc=, size=283aa
   - ACYTXH_01950: bgc=, size=179aa
   - ACYTXH_01975: bgc=, size=187aa
   - ACYTXH_02020: bgc=, size=100aa
   - ACYTXH_02025: bgc=, size=62aa
   - ACYTXH_02090: bgc=, size=208aa
   - ACYTXH_02105: bgc=, size=163aa
   - ACYTXH_02200: bgc=, size=59aa
   - ACYTXH_02225: bgc=, size=133aa
   - ACYTXH_02235: bgc=, size=86aa
   - ACYTXH_02250: bgc=, size=113aa
   - ACYTXH_02300: bgc=, size=40aa
   - ACYTXH_02305: bgc=, size=49aa
   - ACYTXH_02335: bgc=, size=141aa
   - ACYTXH_02365: bgc=, size=56aa
   - ACYTXH_02370: bgc=, size=85aa
   - ACYTXH_02375: bgc=, size=105aa
   - ACYTXH_02405: bgc=, size=65aa
   - ACYTXH_02415: bgc=, size=304aa
   - ACYTXH_02435: bgc=, size=141aa
   - ACYTXH_02450: bgc=, size=57aa
   - ACYTXH_02465: bgc=, size=66aa
   - ACYTXH_02480: bgc=, size=74aa
   - ACYTXH_02525: bgc=, size=77aa
   - ACYTXH_02550: bgc=, size=65aa
   - ACYTXH_02580: bgc=, size=465aa
   - ACYTXH_02620: bgc=, size=79aa
   - ACYTXH_02630: bgc=, size=70aa
   - ACYTXH_02730: bgc=, size=104aa
   - ACYTXH_02735: bgc=, size=157aa
   - ACYTXH_02745: bgc=, size=84aa
   - ACYTXH_02830: bgc=, size=68aa
   - ACYTXH_02840: bgc=, size=55aa
   - ACYTXH_03000: bgc=, size=67aa
   - ACYTXH_03005: bgc=, size=147aa
   - ACYTXH_03065: bgc=, size=232aa
   - ACYTXH_03085: bgc=, size=150aa
   - ACYTXH_03160: bgc=, size=44aa
   - ACYTXH_03185: bgc=, size=87aa
   - ACYTXH_03195: bgc=, size=79aa
   - ACYTXH_03200: bgc=, size=504aa
   - ACYTXH_03225: bgc=, size=303aa
   - ACYTXH_03230: bgc=, size=49aa
   - ACYTXH_03270: bgc=, size=58aa
   - ACYTXH_03275: bgc=, size=90aa
   - ACYTXH_03295: bgc=, size=285aa
   - ACYTXH_03370: bgc=, size=123aa
   - ACYTXH_03375: bgc=, size=143aa
   - ACYTXH_03380: bgc=, size=112aa
   - ACYTXH_03390: bgc=, size=163aa
   - ACYTXH_03395: bgc=, size=68aa
   - ACYTXH_03415: bgc=, size=208aa
   - ACYTXH_03435: bgc=, size=527aa
   - ACYTXH_03445: bgc=, size=73aa
   - ACYTXH_03485: bgc=, size=161aa
   - ACYTXH_03515: bgc=, size=207aa
